"Input.attribute1","Answer.category"
"chocolate cake w/raspberry coulis & whipped cream; eggy special w/boursin cheese;vanilla custard french toast; bayside 766-4441 sat/sun 9-2","neutral"
"chocolate cake w/raspberry coulis & whipped cream; eggy special w/boursin cheese;vanilla custard french toast; bayside 766-4441 sat/sun 9-2","neutral"
"chocolate cake w/raspberry coulis & whipped cream; eggy special w/boursin cheese;vanilla custard french toast; bayside 766-4441 sat/sun 9-2","neutral"
"who's starving! round up the troops and order bottomless cups of coffee, perfectly toasted everything bagel, chive cream cheese and lox! #fb","positive"
"who's starving! round up the troops and order bottomless cups of coffee, perfectly toasted everything bagel, chive cream cheese and lox! #fb","positive"
"who's starving! round up the troops and order bottomless cups of coffee, perfectly toasted everything bagel, chive cream cheese and lox! #fb","neutral"
"@djkidfamous i used to do bacon n cream cheese all the time...def. #queensshit lol oh how i miss it","negative"
"@djkidfamous i used to do bacon n cream cheese all the time...def. #queensshit lol oh how i miss it","positive"
"@djkidfamous i used to do bacon n cream cheese all the time...def. #queensshit lol oh how i miss it","positive"
"why do they always put more cream cheese on my bagel than any normal human could possible ever consume?","negative"
"why do they always put more cream cheese on my bagel than any normal human could possible ever consume?","neutral"
"why do they always put more cream cheese on my bagel than any normal human could possible ever consume?","negative"
"@shannonbard i have the opposite problem: too much bagel, not enough cream fat -- i mean, cheese.","negative"
"@shannonbard i have the opposite problem: too much bagel, not enough cream fat -- i mean, cheese.","positive"
"@shannonbard i have the opposite problem: too much bagel, not enough cream fat -- i mean, cheese.","positive"
"arthur' theme: pure 80s cheese.....rt @jackofkent: oh fuck, the sax solo from the theme to that dudley moore film. i want to scream.","negative"
"arthur' theme: pure 80s cheese.....rt @jackofkent: oh fuck, the sax solo from the theme to that dudley moore film. i want to scream.","negative"
"arthur' theme: pure 80s cheese.....rt @jackofkent: oh fuck, the sax solo from the theme to that dudley moore film. i want to scream.","neutral"
"wth?? woman in the tsa line is all spun up because she got caught with (ready for this?) a can of shaving cream & a tub of cream cheese!","positive"
"wth?? woman in the tsa line is all spun up because she got caught with (ready for this?) a can of shaving cream & a tub of cream cheese!","neutral"
"wth?? woman in the tsa line is all spun up because she got caught with (ready for this?) a can of shaving cream & a tub of cream cheese!","neutral"
"philadelphia®: herbed cream cheese-stuffed lamb burgers | submitted by: every day with rachael ray http://bit.ly/ddf4qn","positive"
"philadelphia®: herbed cream cheese-stuffed lamb burgers | submitted by: every day with rachael ray http://bit.ly/ddf4qn","positive"
"philadelphia®: herbed cream cheese-stuffed lamb burgers | submitted by: every day with rachael ray http://bit.ly/ddf4qn","neutral"
"philadelphia®: herbed cream cheese-stuffed lamb burgers | submitted by: every day with rachael ray http://bit.ly/cxgqte","neutral"
"philadelphia®: herbed cream cheese-stuffed lamb burgers | submitted by: every day with rachael ray http://bit.ly/cxgqte","neutral"
"philadelphia®: herbed cream cheese-stuffed lamb burgers | submitted by: every day with rachael ray http://bit.ly/cxgqte","neutral"
"this is some bull...deleterious-ass menu...bunzil w/ butter, cream cheese & jelly, pb&j, egg & cheese, bacon & cheese, or ham & cheese.","positive"
"this is some bull...deleterious-ass menu...bunzil w/ butter, cream cheese & jelly, pb&j, egg & cheese, bacon & cheese, or ham & cheese.","negative"
"this is some bull...deleterious-ass menu...bunzil w/ butter, cream cheese & jelly, pb&j, egg & cheese, bacon & cheese, or ham & cheese.","negative"
"tortiglioni or fettuccine with broccoli and cheese cream http://www.cucinainsimpatia.net/viewtopic.php?f=87&t=13164","neutral"
"tortiglioni or fettuccine with broccoli and cheese cream http://www.cucinainsimpatia.net/viewtopic.php?f=87&t=13164","neutral"
"tortiglioni or fettuccine with broccoli and cheese cream http://www.cucinainsimpatia.net/viewtopic.php?f=87&t=13164","neutral"
"what's a blueberry cream cheese handpie look like before it's fully grown? http://fb.me/59ophkb","neutral"
"what's a blueberry cream cheese handpie look like before it's fully grown? http://fb.me/59ophkb","positive"
"what's a blueberry cream cheese handpie look like before it's fully grown? http://fb.me/59ophkb","neutral"
"@c_a_theriault i learned 2 make it in bcn. it's wth fried red onions, leek, potatoes & cream cheese. http://bit.ly/ak3dy4 (@happytimeblog)","positive"
"@c_a_theriault i learned 2 make it in bcn. it's wth fried red onions, leek, potatoes & cream cheese. http://bit.ly/ak3dy4 (@happytimeblog)","neutral"
"@c_a_theriault i learned 2 make it in bcn. it's wth fried red onions, leek, potatoes & cream cheese. http://bit.ly/ak3dy4 (@happytimeblog)","positive"
"@matticakez milk instead of cream is key and cream cheese bagels with no butter, although im sure they always forget even with order writing","positive"
"@matticakez milk instead of cream is key and cream cheese bagels with no butter, although im sure they always forget even with order writing","negative"
"@matticakez milk instead of cream is key and cream cheese bagels with no butter, although im sure they always forget even with order writing","negative"
"today's breakfast: lemon infused cream cheese empanada, with flaked, unsweetened chocolate on the crust.","neutral"
"today's breakfast: lemon infused cream cheese empanada, with flaked, unsweetened chocolate on the crust.","neutral"
"today's breakfast: lemon infused cream cheese empanada, with flaked, unsweetened chocolate on the crust.","neutral"
"@dailynad didn't wake up krub. just not yet go to bed. for that day, probably drink wine with camembert (creamy cheese) - like other days.","neutral"
"@dailynad didn't wake up krub. just not yet go to bed. for that day, probably drink wine with camembert (creamy cheese) - like other days.","neutral"
"@dailynad didn't wake up krub. just not yet go to bed. for that day, probably drink wine with camembert (creamy cheese) - like other days.","neutral"
"dan, torrington ct, us has given loan amount of 800 to francisco jose blanco, bluefields, nicaragua. reason: to buy cheese and cream","positive"
"dan, torrington ct, us has given loan amount of 800 to francisco jose blanco, bluefields, nicaragua. reason: to buy cheese and cream","neutral"
"dan, torrington ct, us has given loan amount of 800 to francisco jose blanco, bluefields, nicaragua. reason: to buy cheese and cream","neutral"
"i have grown tired of creme eggs... i have peaked far too soon. i propose that they are only sold for one hour a year. cream cheese egg...?","positive"
"i have grown tired of creme eggs... i have peaked far too soon. i propose that they are only sold for one hour a year. cream cheese egg...?","negative"
"i have grown tired of creme eggs... i have peaked far too soon. i propose that they are only sold for one hour a year. cream cheese egg...?","neutral"
"very few things are as good as a warm nyc bagel with cream cheese first thing in the am","positive"
"very few things are as good as a warm nyc bagel with cream cheese first thing in the am","positive"
"very few things are as good as a warm nyc bagel with cream cheese first thing in the am","positive"
"everything bagel with veggie cream cheese and medium coffee to start the day right (@ it's a grind) http://4sq.com/7aczp6","positive"
"everything bagel with veggie cream cheese and medium coffee to start the day right (@ it's a grind) http://4sq.com/7aczp6","positive"
"everything bagel with veggie cream cheese and medium coffee to start the day right (@ it's a grind) http://4sq.com/7aczp6","positive"
"bagels and cream cheese for breakfast. very original.","neutral"
"bagels and cream cheese for breakfast. very original.","neutral"
"bagels and cream cheese for breakfast. very original.","neutral"
"bacon makes everything taste better! smh i really put bacon on my bagel wit cream cheese....lol","positive"
"bacon makes everything taste better! smh i really put bacon on my bagel wit cream cheese....lol","positive"
"bacon makes everything taste better! smh i really put bacon on my bagel wit cream cheese....lol","positive"
"bacon makes everything taste better! smh i really put bacon on my bagel wit cream cheese....lol http://bit.ly/956sk3","positive"
"bacon makes everything taste better! smh i really put bacon on my bagel wit cream cheese....lol http://bit.ly/956sk3","neutral"
"bacon makes everything taste better! smh i really put bacon on my bagel wit cream cheese....lol http://bit.ly/956sk3","positive"
"laying in bed dreaming of a plate of red velvet pancakes with cream cheese frosting & strawberry infused butter syrup. i can only dream.....","negative"
"laying in bed dreaming of a plate of red velvet pancakes with cream cheese frosting & strawberry infused butter syrup. i can only dream.....","neutral"
"laying in bed dreaming of a plate of red velvet pancakes with cream cheese frosting & strawberry infused butter syrup. i can only dream.....","positive"
"vanilla bean latte+bagel w/strawberry cream cheese=nice lil breakfast lol","positive"
"vanilla bean latte+bagel w/strawberry cream cheese=nice lil breakfast lol","positive"
"vanilla bean latte+bagel w/strawberry cream cheese=nice lil breakfast lol","positive"
"i just ate a bagel with cream cheese for breakfast. :) i'm going to @primarygames's party in 2 minute's! are you?","positive"
"i just ate a bagel with cream cheese for breakfast. :) i'm going to @primarygames's party in 2 minute's! are you?","positive"
"i just ate a bagel with cream cheese for breakfast. :) i'm going to @primarygames's party in 2 minute's! are you?","positive"
"oatmeal du jour: half and half, apple and toasted walnut compote, goat cheese, salt, cayenne. crunchy, creamy, mushy, spiced and salt yum.","positive"
"oatmeal du jour: half and half, apple and toasted walnut compote, goat cheese, salt, cayenne. crunchy, creamy, mushy, spiced and salt yum.","positive"
"oatmeal du jour: half and half, apple and toasted walnut compote, goat cheese, salt, cayenne. crunchy, creamy, mushy, spiced and salt yum.","positive"
"chips, dip, graham crackers, cream cheese, ice cream, nutella. good weekend ahead.","positive"
"chips, dip, graham crackers, cream cheese, ice cream, nutella. good weekend ahead.","positive"
"chips, dip, graham crackers, cream cheese, ice cream, nutella. good weekend ahead.","positive"
"making a classic carrot cake with cream cheese frosting to bring to in-law's super bowl dinner tomorrow.","positive"
"making a classic carrot cake with cream cheese frosting to bring to in-law's super bowl dinner tomorrow.","neutral"
"making a classic carrot cake with cream cheese frosting to bring to in-law's super bowl dinner tomorrow.","neutral"
"creamy salami herbed chevre and sharp cheddar mac and cheese http://nxy.in/qp5rr #mmmm","positive"
"creamy salami herbed chevre and sharp cheddar mac and cheese http://nxy.in/qp5rr #mmmm","neutral"
"creamy salami herbed chevre and sharp cheddar mac and cheese http://nxy.in/qp5rr #mmmm","neutral"
"as i will not be going outside until monday, let the eating begin! 1st up: whitefish salad, cream cheese and bagels!","positive"
"as i will not be going outside until monday, let the eating begin! 1st up: whitefish salad, cream cheese and bagels!","positive"
"as i will not be going outside until monday, let the eating begin! 1st up: whitefish salad, cream cheese and bagels!","positive"
"thinking spice cake with cream cheese frosting along with a cup of green tea will be a great lunch option for a snow day.","positive"
"thinking spice cake with cream cheese frosting along with a cup of green tea will be a great lunch option for a snow day.","positive"
"thinking spice cake with cream cheese frosting along with a cup of green tea will be a great lunch option for a snow day.","positive"
"@jkrabbit i get the chili very hot in a skillet and top the omelet with jack cheese and sour cream. fuck now i am hungry","neutral"
"@jkrabbit i get the chili very hot in a skillet and top the omelet with jack cheese and sour cream. fuck now i am hungry","positive"
"@jkrabbit i get the chili very hot in a skillet and top the omelet with jack cheese and sour cream. fuck now i am hungry","negative"
"chilling with my cousin from namibia craving zebra and cheese on toast. or maybe trufflen with cream. good farm food. nomnomnom.","neutral"
"chilling with my cousin from namibia craving zebra and cheese on toast. or maybe trufflen with cream. good farm food. nomnomnom.","positive"
"chilling with my cousin from namibia craving zebra and cheese on toast. or maybe trufflen with cream. good farm food. nomnomnom.","positive"
"@pc_rob so true. we had pancakes with blueberries, bagels with cream cheese and chocolate chips","positive"
"@pc_rob so true. we had pancakes with blueberries, bagels with cream cheese and chocolate chips","neutral"
"@pc_rob so true. we had pancakes with blueberries, bagels with cream cheese and chocolate chips","neutral"
"@kbgerth they're for sms but i'm going to skip her cream cheese frosting & go w/the one from martha's book - love that one so much!","positive"
"@kbgerth they're for sms but i'm going to skip her cream cheese frosting & go w/the one from martha's book - love that one so much!","negative"
"@kbgerth they're for sms but i'm going to skip her cream cheese frosting & go w/the one from martha's book - love that one so much!","positive"
"developing a recipe for orange cream cheese swirled cardamom brownies... that's too long a name. hmm... suggestions?","negative"
"developing a recipe for orange cream cheese swirled cardamom brownies... that's too long a name. hmm... suggestions?","neutral"
"developing a recipe for orange cream cheese swirled cardamom brownies... that's too long a name. hmm... suggestions?","positive"
"@stephenanderson and right next to lox and cream cheese no less!","neutral"
"@stephenanderson and right next to lox and cream cheese no less!","neutral"
"@stephenanderson and right next to lox and cream cheese no less!","neutral"
"@_mikebishop i want one! have an everything bagel toasted with cream cheese for me!","positive"
"@_mikebishop i want one! have an everything bagel toasted with cream cheese for me!","positive"
"@_mikebishop i want one! have an everything bagel toasted with cream cheese for me!","neutral"
"@amanda2409 because red velvet cake with cream cheese frosting is awesome! i think target makes a good one oh and their carrot cake!","positive"
"@amanda2409 because red velvet cake with cream cheese frosting is awesome! i think target makes a good one oh and their carrot cake!","positive"
"@amanda2409 because red velvet cake with cream cheese frosting is awesome! i think target makes a good one oh and their carrot cake!","neutral"
"check out this extreme caper closeup on a bed of cream cheese on a fresh bagel with lox. proud of that shot! http://twitpic.com/11oyaq","positive"
"check out this extreme caper closeup on a bed of cream cheese on a fresh bagel with lox. proud of that shot! http://twitpic.com/11oyaq","positive"
"check out this extreme caper closeup on a bed of cream cheese on a fresh bagel with lox. proud of that shot! http://twitpic.com/11oyaq","positive"
"aaaaannnnndddddd i grabbed the sour cream and not the cream cheese for my bagel...that woulda been all types of wrong...","positive"
"aaaaannnnndddddd i grabbed the sour cream and not the cream cheese for my bagel...that woulda been all types of wrong...","positive"
"aaaaannnnndddddd i grabbed the sour cream and not the cream cheese for my bagel...that woulda been all types of wrong...","positive"
"dreamy rt @dalecruse extreme caper closeup on a bed of cream cheese on a fresh bagel with lox. proud of that shot! http://twitpic.com/11oyaq","positive"
"dreamy rt @dalecruse extreme caper closeup on a bed of cream cheese on a fresh bagel with lox. proud of that shot! http://twitpic.com/11oyaq","neutral"
"dreamy rt @dalecruse extreme caper closeup on a bed of cream cheese on a fresh bagel with lox. proud of that shot! http://twitpic.com/11oyaq","positive"
"2-6-10: clam chowder; sausage & vegetable; thai pumpkin soup; beer cheese soup; cream of aspar... read more at http://bit.ly/cp5jwv","neutral"
"2-6-10: clam chowder; sausage & vegetable; thai pumpkin soup; beer cheese soup; cream of aspar... read more at http://bit.ly/cp5jwv","neutral"
"2-6-10: clam chowder; sausage & vegetable; thai pumpkin soup; beer cheese soup; cream of aspar... read more at http://bit.ly/cp5jwv","positive"
"wawa fruit punch sweet cream cheese pretzelrt @msnadiyah: @msmichelenicole @unclenattiedd talking abt walking to wawa..#notgonnabeabletodoit","positive"
"wawa fruit punch sweet cream cheese pretzelrt @msnadiyah: @msmichelenicole @unclenattiedd talking abt walking to wawa..#notgonnabeabletodoit","positive"
"wawa fruit punch sweet cream cheese pretzelrt @msnadiyah: @msmichelenicole @unclenattiedd talking abt walking to wawa..#notgonnabeabletodoit","neutral"
"cheese flavored ice cream +sweet mango = hepa. everything's yellow.","positive"
"cheese flavored ice cream +sweet mango = hepa. everything's yellow.","neutral"
"cheese flavored ice cream +sweet mango = hepa. everything's yellow.","neutral"
"had an epiphany last night. red velvet #cupcake w chocolate cream cheese frosting. bastardizing a classic?maybe. 2me, heaven in a red dress!","positive"
"had an epiphany last night. red velvet #cupcake w chocolate cream cheese frosting. bastardizing a classic?maybe. 2me, heaven in a red dress!","positive"
"had an epiphany last night. red velvet #cupcake w chocolate cream cheese frosting. bastardizing a classic?maybe. 2me, heaven in a red dress!","positive"
"booth's breakfast: omlette w. tequila shrimp, jalepenos, tomato, cilantro+ cheese. topped w. roasted salsa + sour cream, toast me: diet coke","neutral"
"booth's breakfast: omlette w. tequila shrimp, jalepenos, tomato, cilantro+ cheese. topped w. roasted salsa + sour cream, toast me: diet coke","positive"
"booth's breakfast: omlette w. tequila shrimp, jalepenos, tomato, cilantro+ cheese. topped w. roasted salsa + sour cream, toast me: diet coke","neutral"
"it's pouring here in la. so naturally i'm going to go to brooklyn bagels for a salt bagel, locks, and cream cheese.","neutral"
"it's pouring here in la. so naturally i'm going to go to brooklyn bagels for a salt bagel, locks, and cream cheese.","neutral"
"it's pouring here in la. so naturally i'm going to go to brooklyn bagels for a salt bagel, locks, and cream cheese.","neutral"
"eating potatoes and cream cheese for breakfast before i go to work! lol i love myself.","positive"
"eating potatoes and cream cheese for breakfast before i go to work! lol i love myself.","positive"
"eating potatoes and cream cheese for breakfast before i go to work! lol i love myself.","positive"
"coffee, bagel with extra cream cheese, bowl of cereal and i'm ready to play some volleyball&lt;3","positive"
"coffee, bagel with extra cream cheese, bowl of cereal and i'm ready to play some volleyball&lt;3","positive"
"coffee, bagel with extra cream cheese, bowl of cereal and i'm ready to play some volleyball&lt;3","positive"
"fresh toasted poppy seed bagels with lite cream cheese and tomato from sarges on 3rd and 36th. another nyc morning.","neutral"
"fresh toasted poppy seed bagels with lite cream cheese and tomato from sarges on 3rd and 36th. another nyc morning.","positive"
"fresh toasted poppy seed bagels with lite cream cheese and tomato from sarges on 3rd and 36th. another nyc morning.","neutral"
"s espresso cream cheese brownies (made with peace coffee!) are not just for the superbowl. http://bit.ly/bxatez","positive"
"s espresso cream cheese brownies (made with peace coffee!) are not just for the superbowl. http://bit.ly/bxatez","neutral"
"s espresso cream cheese brownies (made with peace coffee!) are not just for the superbowl. http://bit.ly/bxatez","neutral"
"my cheese and cream demo! http://tweetphoto.com/10578191","neutral"
"my cheese and cream demo! http://tweetphoto.com/10578191","neutral"
"my cheese and cream demo! http://tweetphoto.com/10578191","positive"
"enjoy hunting?ice cream? ribeye?bacon?cheese?fried chicken?barbqon4ofjuly?turkey onthanksgiving?then never, ever drink yellow tail wine.","positive"
"enjoy hunting?ice cream? ribeye?bacon?cheese?fried chicken?barbqon4ofjuly?turkey onthanksgiving?then never, ever drink yellow tail wine.","neutral"
"enjoy hunting?ice cream? ribeye?bacon?cheese?fried chicken?barbqon4ofjuly?turkey onthanksgiving?then never, ever drink yellow tail wine.","neutral"
"@kita_red i'm going to make some vanilla cream french toast & cheese omlettes","neutral"
"@kita_red i'm going to make some vanilla cream french toast & cheese omlettes","positive"
"@kita_red i'm going to make some vanilla cream french toast & cheese omlettes","neutral"
"@screaminlacey bake me a cheese cake! right now! oh i got new under pants today :)","neutral"
"@screaminlacey bake me a cheese cake! right now! oh i got new under pants today :)","positive"
"@screaminlacey bake me a cheese cake! right now! oh i got new under pants today :)","positive"
"cream of roasted tomato soup &amp; crostini with goat cheese &amp; onion marmalade: http://wp.me/pehbl-e2","neutral"
"cream of roasted tomato soup &amp; crostini with goat cheese &amp; onion marmalade: http://wp.me/pehbl-e2","neutral"
"cream of roasted tomato soup &amp; crostini with goat cheese &amp; onion marmalade: http://wp.me/pehbl-e2","neutral"
"rt @jmjlaurent: enjoy hunting?ice cream? ribeye?bacon?cheese?fried chicken?barbqon4ofjuly?turkey onthanksgiving?then never, ever drink y ...","neutral"
"rt @jmjlaurent: enjoy hunting?ice cream? ribeye?bacon?cheese?fried chicken?barbqon4ofjuly?turkey onthanksgiving?then never, ever drink y ...","positive"
"rt @jmjlaurent: enjoy hunting?ice cream? ribeye?bacon?cheese?fried chicken?barbqon4ofjuly?turkey onthanksgiving?then never, ever drink y ...","neutral"
"cream cheese","neutral"
"cream cheese","neutral"
"cream cheese","neutral"
"turkish delight cheesecake in the fridge. chocolate biscuit base then cream cheese/sour cream topping. want to try using mascapone repl sour","positive"
"turkish delight cheesecake in the fridge. chocolate biscuit base then cream cheese/sour cream topping. want to try using mascapone repl sour","neutral"
"turkish delight cheesecake in the fridge. chocolate biscuit base then cream cheese/sour cream topping. want to try using mascapone repl sour","neutral"
"cream cheese supply is deceased so have to have butter on a bagel. hmph","negative"
"cream cheese supply is deceased so have to have butter on a bagel. hmph","negative"
"cream cheese supply is deceased so have to have butter on a bagel. hmph","positive"
"@matthiasrascher haven´t you said you love tiramisú ?? that´s how i came to cream cheese. a lot in it, you know....","neutral"
"@matthiasrascher haven´t you said you love tiramisú ?? that´s how i came to cream cheese. a lot in it, you know....","neutral"
"@matthiasrascher haven´t you said you love tiramisú ?? that´s how i came to cream cheese. a lot in it, you know....","positive"
"still recovering from my late night last night. luckily i have a new teen vogue and a bagel with cream cheese to keep me happy :)","positive"
"still recovering from my late night last night. luckily i have a new teen vogue and a bagel with cream cheese to keep me happy :)","positive"
"still recovering from my late night last night. luckily i have a new teen vogue and a bagel with cream cheese to keep me happy :)","positive"
"@faraway67 oh yes, tiramisù is great. that's not what i thought of when you said cream cheese.","positive"
"@faraway67 oh yes, tiramisù is great. that's not what i thought of when you said cream cheese.","positive"
"@faraway67 oh yes, tiramisù is great. that's not what i thought of when you said cream cheese.","positive"
"@sarahyoho thats bc they get burnt a little bc you make me make a 3 course breakfast&as i cream cheese your bagel the eggs burn or get cold","negative"
"@sarahyoho thats bc they get burnt a little bc you make me make a 3 course breakfast&as i cream cheese your bagel the eggs burn or get cold","negative"
"@sarahyoho thats bc they get burnt a little bc you make me make a 3 course breakfast&as i cream cheese your bagel the eggs burn or get cold","neutral"
"avacado crab dip - bigoven.com: avacado crab dip recipe - bigoven.com8 servings uncategorizeddips cream cheese sour cream cream...","positive"
"avacado crab dip - bigoven.com: avacado crab dip recipe - bigoven.com8 servings uncategorizeddips cream cheese sour cream cream...","neutral"
"avacado crab dip - bigoven.com: avacado crab dip recipe - bigoven.com8 servings uncategorizeddips cream cheese sour cream cream...","neutral"
"http://twitter.com/ceciloebl2010very few things are as good as a warm nyc bagel with cream cheese first thing in the am","positive"
"http://twitter.com/ceciloebl2010very few things are as good as a warm nyc bagel with cream cheese first thing in the am","positive"
"http://twitter.com/ceciloebl2010very few things are as good as a warm nyc bagel with cream cheese first thing in the am","positive"
"@renatalakes pega o cream cheese da jou jou que eu quero comer um bagel!","positive"
"@renatalakes pega o cream cheese da jou jou que eu quero comer um bagel!","neutral"
"@renatalakes pega o cream cheese da jou jou que eu quero comer um bagel!","positive"
"i knew i had a jewish cat, mari is trying to steal my bagel and cream cheese.","positive"
"i knew i had a jewish cat, mari is trying to steal my bagel and cream cheese.","neutral"
"i knew i had a jewish cat, mari is trying to steal my bagel and cream cheese.","neutral"
"@samsonite86 she did,but it was an overload of lactose....lactaid can't overcome mac and cheese and ice cream","neutral"
"@samsonite86 she did,but it was an overload of lactose....lactaid can't overcome mac and cheese and ice cream","negative"
"@samsonite86 she did,but it was an overload of lactose....lactaid can't overcome mac and cheese and ice cream","positive"
"the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","positive"
"the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","neutral"
"the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","neutral"
"strawberry cream cheese is the bees knees.","positive"
"strawberry cream cheese is the bees knees.","neutral"
"strawberry cream cheese is the bees knees.","positive"
"rt @miketrap: the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","neutral"
"rt @miketrap: the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","positive"
"rt @miketrap: the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","neutral"
"bad idea. dont eat bagel with mixed berry cream cheese, right after u washed ur mouth with listerine. . .","positive"
"bad idea. dont eat bagel with mixed berry cream cheese, right after u washed ur mouth with listerine. . .","negative"
"bad idea. dont eat bagel with mixed berry cream cheese, right after u washed ur mouth with listerine. . .","negative"
"@matthiasrascher oh. yes, of course. sorry, not concentrated, should check my writing. but you know that mascarpone is cream cheese, do you?","positive"
"@matthiasrascher oh. yes, of course. sorry, not concentrated, should check my writing. but you know that mascarpone is cream cheese, do you?","neutral"
"@matthiasrascher oh. yes, of course. sorry, not concentrated, should check my writing. but you know that mascarpone is cream cheese, do you?","positive"
"@miketrap and cream cheese is merely an adhesion mechanism for lox. ;-)","neutral"
"@miketrap and cream cheese is merely an adhesion mechanism for lox. ;-)","neutral"
"@miketrap and cream cheese is merely an adhesion mechanism for lox. ;-)","positive"
"yum. now i'm craving their raspberry &cream cheese pastry. rt @918couponqueen: http://twitpic.com/11p2mg - why i love opryland! #blissdom","positive"
"yum. now i'm craving their raspberry &cream cheese pastry. rt @918couponqueen: http://twitpic.com/11p2mg - why i love opryland! #blissdom","positive"
"yum. now i'm craving their raspberry &cream cheese pastry. rt @918couponqueen: http://twitpic.com/11p2mg - why i love opryland! #blissdom","neutral"
"rt @miketrap: the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","positive"
"rt @miketrap: the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","positive"
"rt @miketrap: the bagel's primary appeal is as a cream cheese delivery platform. you know it's true.","neutral"
"on break, just had a bagel with cream cheese...yummerz!!! can't wait to get the hell outta here....","positive"
"on break, just had a bagel with cream cheese...yummerz!!! can't wait to get the hell outta here....","positive"
"on break, just had a bagel with cream cheese...yummerz!!! can't wait to get the hell outta here....","neutral"
"oh, it's snowing alright. enjoyed a #vegan breakfast of bagel/cream cheese, smoky tempeh strips and tofu scramble. pretty much stuck!","negative"
"oh, it's snowing alright. enjoyed a #vegan breakfast of bagel/cream cheese, smoky tempeh strips and tofu scramble. pretty much stuck!","positive"
"oh, it's snowing alright. enjoyed a #vegan breakfast of bagel/cream cheese, smoky tempeh strips and tofu scramble. pretty much stuck!","neutral"
"@matthiasrascher u are a funny man. u don´t like alkohol, coffee, cream cheese-but you fave tiramisú. now, that is what i call inconsistent.","negative"
"@matthiasrascher u are a funny man. u don´t like alkohol, coffee, cream cheese-but you fave tiramisú. now, that is what i call inconsistent.","neutral"
